SEED FROM ARGS.
Train | Epoch: 1 | Time: 2.123694658279419 | Step: 0 / 285 | {'loss_reg': '0.1030', 'loss_triplet': '0.0079', 'loss': '0.1109'}
Train | Epoch: 1 | Time: 8.760968923568726 | Step: 10 / 285 | {'loss_reg': '0.0606', 'loss_triplet': '0.0064', 'loss': '0.0670'}
Train | Epoch: 1 | Time: 9.330183744430542 | Step: 20 / 285 | {'loss_reg': '0.0582', 'loss_triplet': '0.0047', 'loss': '0.0629'}
Train | Epoch: 1 | Time: 8.696791172027588 | Step: 30 / 285 | {'loss_reg': '0.0510', 'loss_triplet': '0.0028', 'loss': '0.0538'}
Train | Epoch: 1 | Time: 8.85607123374939 | Step: 40 / 285 | {'loss_reg': '0.0498', 'loss_triplet': '0.0016', 'loss': '0.0513'}
Train | Epoch: 1 | Time: 8.81479287147522 | Step: 50 / 285 | {'loss_reg': '0.0500', 'loss_triplet': '0.0009', 'loss': '0.0509'}
Train | Epoch: 1 | Time: 8.6033296585083 | Step: 60 / 285 | {'loss_reg': '0.0462', 'loss_triplet': '0.0005', 'loss': '0.0467'}
Train | Epoch: 1 | Time: 9.08784294128418 | Step: 70 / 285 | {'loss_reg': '0.0432', 'loss_triplet': '0.0005', 'loss': '0.0438'}
Train | Epoch: 1 | Time: 9.286600589752197 | Step: 80 / 285 | {'loss_reg': '0.0418', 'loss_triplet': '0.0006', 'loss': '0.0423'}
Train | Epoch: 1 | Time: 9.387712478637695 | Step: 90 / 285 | {'loss_reg': '0.0380', 'loss_triplet': '0.0005', 'loss': '0.0384'}
Train | Epoch: 1 | Time: 9.073342561721802 | Step: 100 / 285 | {'loss_reg': '0.0375', 'loss_triplet': '0.0005', 'loss': '0.0380'}
Train | Epoch: 1 | Time: 9.384760856628418 | Step: 110 / 285 | {'loss_reg': '0.0370', 'loss_triplet': '0.0005', 'loss': '0.0374'}
Train | Epoch: 1 | Time: 9.15287446975708 | Step: 120 / 285 | {'loss_reg': '0.0353', 'loss_triplet': '0.0004', 'loss': '0.0357'}
Train | Epoch: 1 | Time: 9.368253231048584 | Step: 130 / 285 | {'loss_reg': '0.0339', 'loss_triplet': '0.0004', 'loss': '0.0343'}
Train | Epoch: 1 | Time: 9.2725989818573 | Step: 140 / 285 | {'loss_reg': '0.0328', 'loss_triplet': '0.0003', 'loss': '0.0331'}
