SEED FROM ARGS.
Train | Epoch: 1 | Time: 1.9444024562835693 | Step: 0 / 285 | {'loss_reg': '0.1077', 'loss': '0.1077'}
Train | Epoch: 1 | Time: 13.579459428787231 | Step: 10 / 285 | {'loss_reg': '0.0948', 'loss': '0.0948'}
Train | Epoch: 1 | Time: 13.188194751739502 | Step: 20 / 285 | {'loss_reg': '0.0565', 'loss': '0.0565'}
Train | Epoch: 1 | Time: 13.44870638847351 | Step: 30 / 285 | {'loss_reg': '0.0504', 'loss': '0.0504'}
Train | Epoch: 1 | Time: 13.11505937576294 | Step: 40 / 285 | {'loss_reg': '0.0466', 'loss': '0.0466'}
Train | Epoch: 1 | Time: 13.458133220672607 | Step: 50 / 285 | {'loss_reg': '0.0437', 'loss': '0.0437'}
Train | Epoch: 1 | Time: 13.239943742752075 | Step: 60 / 285 | {'loss_reg': '0.0411', 'loss': '0.0411'}
Train | Epoch: 1 | Time: 13.485778331756592 | Step: 70 / 285 | {'loss_reg': '0.0381', 'loss': '0.0381'}
Train | Epoch: 1 | Time: 13.360910415649414 | Step: 80 / 285 | {'loss_reg': '0.0320', 'loss': '0.0320'}
Train | Epoch: 1 | Time: 13.419568061828613 | Step: 90 / 285 | {'loss_reg': '0.0363', 'loss': '0.0363'}
Train | Epoch: 1 | Time: 13.229947805404663 | Step: 100 / 285 | {'loss_reg': '0.0329', 'loss': '0.0329'}
Train | Epoch: 1 | Time: 13.14094090461731 | Step: 110 / 285 | {'loss_reg': '0.0314', 'loss': '0.0314'}
Train | Epoch: 1 | Time: 13.360217332839966 | Step: 120 / 285 | {'loss_reg': '0.0313', 'loss': '0.0313'}
Train | Epoch: 1 | Time: 12.86276626586914 | Step: 130 / 285 | {'loss_reg': '0.0326', 'loss': '0.0326'}
Train | Epoch: 1 | Time: 13.188833951950073 | Step: 140 / 285 | {'loss_reg': '0.0305', 'loss': '0.0305'}
Train | Epoch: 1 | Time: 12.928063154220581 | Step: 150 / 285 | {'loss_reg': '0.0311', 'loss': '0.0311'}
Train | Epoch: 1 | Time: 13.089308261871338 | Step: 160 / 285 | {'loss_reg': '0.0289', 'loss': '0.0289'}
Train | Epoch: 1 | Time: 12.943516492843628 | Step: 170 / 285 | {'loss_reg': '0.0311', 'loss': '0.0311'}
Train | Epoch: 1 | Time: 13.303079605102539 | Step: 180 / 285 | {'loss_reg': '0.0303', 'loss': '0.0303'}
Train | Epoch: 1 | Time: 12.817479610443115 | Step: 190 / 285 | {'loss_reg': '0.0315', 'loss': '0.0315'}
Train | Epoch: 1 | Time: 13.132695198059082 | Step: 200 / 285 | {'loss_reg': '0.0297', 'loss': '0.0297'}
Train | Epoch: 1 | Time: 12.964505910873413 | Step: 210 / 285 | {'loss_reg': '0.0304', 'loss': '0.0304'}
Train | Epoch: 1 | Time: 13.53955602645874 | Step: 220 / 285 | {'loss_reg': '0.0295', 'loss': '0.0295'}
Train | Epoch: 1 | Time: 13.214236974716187 | Step: 230 / 285 | {'loss_reg': '0.0302', 'loss': '0.0302'}
Train | Epoch: 1 | Time: 13.724515438079834 | Step: 240 / 285 | {'loss_reg': '0.0294', 'loss': '0.0294'}
Train | Epoch: 1 | Time: 13.212994813919067 | Step: 250 / 285 | {'loss_reg': '0.0295', 'loss': '0.0295'}
Train | Epoch: 1 | Time: 13.370791912078857 | Step: 260 / 285 | {'loss_reg': '0.0315', 'loss': '0.0315'}
Train | Epoch: 1 | Time: 13.58380126953125 | Step: 270 / 285 | {'loss_reg': '0.0284', 'loss': '0.0284'}
Train | Epoch: 1 | Time: 13.982343435287476 | Step: 280 / 285 | {'loss_reg': '0.0290', 'loss': '0.0290'}
Val | Epoch: 1 | {'rmse': '14.860', 'pearson': '0.809', 'r2': '0.653', 'spearmanr': '0.806'}
Train | Epoch: 2 | Time: 1.174842357635498 | Step: 0 / 285 | {'loss_reg': '0.0304', 'loss': '0.0304'}
Train | Epoch: 2 | Time: 14.547566413879395 | Step: 10 / 285 | {'loss_reg': '0.0297', 'loss': '0.0297'}
Train | Epoch: 2 | Time: 14.430656433105469 | Step: 20 / 285 | {'loss_reg': '0.0276', 'loss': '0.0276'}
Train | Epoch: 2 | Time: 14.04733657836914 | Step: 30 / 285 | {'loss_reg': '0.0286', 'loss': '0.0286'}
Train | Epoch: 2 | Time: 13.661471128463745 | Step: 40 / 285 | {'loss_reg': '0.0283', 'loss': '0.0283'}
Train | Epoch: 2 | Time: 14.490810871124268 | Step: 50 / 285 | {'loss_reg': '0.0265', 'loss': '0.0265'}
Train | Epoch: 2 | Time: 14.366016626358032 | Step: 60 / 285 | {'loss_reg': '0.0290', 'loss': '0.0290'}
Train | Epoch: 2 | Time: 14.88288927078247 | Step: 70 / 285 | {'loss_reg': '0.0293', 'loss': '0.0293'}
Train | Epoch: 2 | Time: 14.62787675857544 | Step: 80 / 285 | {'loss_reg': '0.0278', 'loss': '0.0278'}
Train | Epoch: 2 | Time: 15.586504936218262 | Step: 90 / 285 | {'loss_reg': '0.0273', 'loss': '0.0273'}
Train | Epoch: 2 | Time: 15.044301748275757 | Step: 100 / 285 | {'loss_reg': '0.0292', 'loss': '0.0292'}
Train | Epoch: 2 | Time: 14.693029642105103 | Step: 110 / 285 | {'loss_reg': '0.0286', 'loss': '0.0286'}
Train | Epoch: 2 | Time: 14.2597336769104 | Step: 120 / 285 | {'loss_reg': '0.0307', 'loss': '0.0307'}
Train | Epoch: 2 | Time: 15.176844120025635 | Step: 130 / 285 | {'loss_reg': '0.0279', 'loss': '0.0279'}
Train | Epoch: 2 | Time: 13.728333711624146 | Step: 140 / 285 | {'loss_reg': '0.0289', 'loss': '0.0289'}
Train | Epoch: 2 | Time: 14.496215581893921 | Step: 150 / 285 | {'loss_reg': '0.0296', 'loss': '0.0296'}
Train | Epoch: 2 | Time: 13.80158519744873 | Step: 160 / 285 | {'loss_reg': '0.0295', 'loss': '0.0295'}
Train | Epoch: 2 | Time: 14.865143060684204 | Step: 170 / 285 | {'loss_reg': '0.0276', 'loss': '0.0276'}
Train | Epoch: 2 | Time: 13.870482683181763 | Step: 180 / 285 | {'loss_reg': '0.0278', 'loss': '0.0278'}
Train | Epoch: 2 | Time: 14.387551546096802 | Step: 190 / 285 | {'loss_reg': '0.0304', 'loss': '0.0304'}
Train | Epoch: 2 | Time: 14.173750877380371 | Step: 200 / 285 | {'loss_reg': '0.0301', 'loss': '0.0301'}
Train | Epoch: 2 | Time: 14.088246822357178 | Step: 210 / 285 | {'loss_reg': '0.0279', 'loss': '0.0279'}
Train | Epoch: 2 | Time: 14.563966035842896 | Step: 220 / 285 | {'loss_reg': '0.0281', 'loss': '0.0281'}
Train | Epoch: 2 | Time: 14.956200122833252 | Step: 230 / 285 | {'loss_reg': '0.0292', 'loss': '0.0292'}
Train | Epoch: 2 | Time: 13.688816547393799 | Step: 240 / 285 | {'loss_reg': '0.0295', 'loss': '0.0295'}
Train | Epoch: 2 | Time: 14.418683290481567 | Step: 250 / 285 | {'loss_reg': '0.0283', 'loss': '0.0283'}
Train | Epoch: 2 | Time: 13.750999927520752 | Step: 260 / 285 | {'loss_reg': '0.0278', 'loss': '0.0278'}
Train | Epoch: 2 | Time: 13.914219379425049 | Step: 270 / 285 | {'loss_reg': '0.0291', 'loss': '0.0291'}
Train | Epoch: 2 | Time: 13.552893161773682 | Step: 280 / 285 | {'loss_reg': '0.0281', 'loss': '0.0281'}
Val | Epoch: 2 | {'rmse': '14.159', 'pearson': '0.828', 'r2': '0.685', 'spearmanr': '0.822'}
Train | Epoch: 3 | Time: 1.207956075668335 | Step: 0 / 285 | {'loss_reg': '0.0267', 'loss': '0.0267'}
Train | Epoch: 3 | Time: 14.108132600784302 | Step: 10 / 285 | {'loss_reg': '0.0279', 'loss': '0.0279'}
Train | Epoch: 3 | Time: 13.855741500854492 | Step: 20 / 285 | {'loss_reg': '0.0301', 'loss': '0.0301'}
Train | Epoch: 3 | Time: 14.478788137435913 | Step: 30 / 285 | {'loss_reg': '0.0285', 'loss': '0.0285'}
Train | Epoch: 3 | Time: 14.32360315322876 | Step: 40 / 285 | {'loss_reg': '0.0306', 'loss': '0.0306'}
Train | Epoch: 3 | Time: 13.604634046554565 | Step: 50 / 285 | {'loss_reg': '0.0260', 'loss': '0.0260'}
Train | Epoch: 3 | Time: 13.948904037475586 | Step: 60 / 285 | {'loss_reg': '0.0289', 'loss': '0.0289'}
Train | Epoch: 3 | Time: 13.92287802696228 | Step: 70 / 285 | {'loss_reg': '0.0270', 'loss': '0.0270'}
Train | Epoch: 3 | Time: 14.223381757736206 | Step: 80 / 285 | {'loss_reg': '0.0255', 'loss': '0.0255'}
Train | Epoch: 3 | Time: 15.187954664230347 | Step: 90 / 285 | {'loss_reg': '0.0278', 'loss': '0.0278'}
Train | Epoch: 3 | Time: 14.515799522399902 | Step: 100 / 285 | {'loss_reg': '0.0287', 'loss': '0.0287'}
Train | Epoch: 3 | Time: 14.741633415222168 | Step: 110 / 285 | {'loss_reg': '0.0296', 'loss': '0.0296'}
Train | Epoch: 3 | Time: 14.531805992126465 | Step: 120 / 285 | {'loss_reg': '0.0289', 'loss': '0.0289'}
Train | Epoch: 3 | Time: 13.81041407585144 | Step: 130 / 285 | {'loss_reg': '0.0266', 'loss': '0.0266'}
Train | Epoch: 3 | Time: 14.074207305908203 | Step: 140 / 285 | {'loss_reg': '0.0274', 'loss': '0.0274'}
Train | Epoch: 3 | Time: 13.940793752670288 | Step: 150 / 285 | {'loss_reg': '0.0270', 'loss': '0.0270'}
Train | Epoch: 3 | Time: 13.394067525863647 | Step: 160 / 285 | {'loss_reg': '0.0269', 'loss': '0.0269'}
Train | Epoch: 3 | Time: 12.966028451919556 | Step: 170 / 285 | {'loss_reg': '0.0271', 'loss': '0.0271'}
Train | Epoch: 3 | Time: 13.880320310592651 | Step: 180 / 285 | {'loss_reg': '0.0260', 'loss': '0.0260'}
Train | Epoch: 3 | Time: 14.240212678909302 | Step: 190 / 285 | {'loss_reg': '0.0277', 'loss': '0.0277'}
Train | Epoch: 3 | Time: 14.095091581344604 | Step: 200 / 285 | {'loss_reg': '0.0281', 'loss': '0.0281'}
Train | Epoch: 3 | Time: 13.762305498123169 | Step: 210 / 285 | {'loss_reg': '0.0271', 'loss': '0.0271'}
Train | Epoch: 3 | Time: 12.96540880203247 | Step: 220 / 285 | {'loss_reg': '0.0267', 'loss': '0.0267'}
Train | Epoch: 3 | Time: 13.048007726669312 | Step: 230 / 285 | {'loss_reg': '0.0271', 'loss': '0.0271'}
Train | Epoch: 3 | Time: 12.87066102027893 | Step: 240 / 285 | {'loss_reg': '0.0272', 'loss': '0.0272'}
Train | Epoch: 3 | Time: 13.273057222366333 | Step: 250 / 285 | {'loss_reg': '0.0282', 'loss': '0.0282'}
Train | Epoch: 3 | Time: 13.481929779052734 | Step: 260 / 285 | {'loss_reg': '0.0256', 'loss': '0.0256'}
Train | Epoch: 3 | Time: 13.642218351364136 | Step: 270 / 285 | {'loss_reg': '0.0267', 'loss': '0.0267'}
Train | Epoch: 3 | Time: 14.1705482006073 | Step: 280 / 285 | {'loss_reg': '0.0270', 'loss': '0.0270'}
Val | Epoch: 3 | {'rmse': '13.805', 'pearson': '0.839', 'r2': '0.701', 'spearmanr': '0.834'}
Train | Epoch: 4 | Time: 1.3783361911773682 | Step: 0 / 285 | {'loss_reg': '0.0273', 'loss': '0.0273'}
Train | Epoch: 4 | Time: 14.245994806289673 | Step: 10 / 285 | {'loss_reg': '0.0273', 'loss': '0.0273'}
Train | Epoch: 4 | Time: 14.308563470840454 | Step: 20 / 285 | {'loss_reg': '0.0260', 'loss': '0.0260'}
