SEED FROM ARGS.
Train | Epoch: 1 | Step: 0 / 442 | {'loss_reg': '13.7755', 'loss_triplet': '0.1895', 'loss': '13.9650'}
Train | Epoch: 1 | Step: 10 / 442 | {'loss_reg': '16.7218', 'loss_triplet': '0.1206', 'loss': '16.8424'}
Train | Epoch: 1 | Step: 20 / 442 | {'loss_reg': '7.3227', 'loss_triplet': '0.0869', 'loss': '7.4096'}
Train | Epoch: 1 | Step: 30 / 442 | {'loss_reg': '8.7293', 'loss_triplet': '0.1713', 'loss': '8.9006'}
Train | Epoch: 1 | Step: 40 / 442 | {'loss_reg': '8.5919', 'loss_triplet': '0.1470', 'loss': '8.7389'}
Train | Epoch: 1 | Step: 50 / 442 | {'loss_reg': '8.6314', 'loss_triplet': '0.1125', 'loss': '8.7439'}
Train | Epoch: 1 | Step: 60 / 442 | {'loss_reg': '7.5036', 'loss_triplet': '0.0828', 'loss': '7.5864'}
Train | Epoch: 1 | Step: 70 / 442 | {'loss_reg': '7.1188', 'loss_triplet': '0.1426', 'loss': '7.2613'}
Train | Epoch: 1 | Step: 80 / 442 | {'loss_reg': '5.8787', 'loss_triplet': '0.0695', 'loss': '5.9482'}
Train | Epoch: 1 | Step: 90 / 442 | {'loss_reg': '1.7267', 'loss_triplet': '0.0877', 'loss': '1.8144'}
Train | Epoch: 1 | Step: 100 / 442 | {'loss_reg': '2.7600', 'loss_triplet': '0.0335', 'loss': '2.7935'}
Train | Epoch: 1 | Step: 110 / 442 | {'loss_reg': '4.3869', 'loss_triplet': '0.0371', 'loss': '4.4240'}
Train | Epoch: 1 | Step: 120 / 442 | {'loss_reg': '5.1433', 'loss_triplet': '0.0824', 'loss': '5.2257'}
Train | Epoch: 1 | Step: 130 / 442 | {'loss_reg': '1.7153', 'loss_triplet': '0.0622', 'loss': '1.7775'}
Train | Epoch: 1 | Step: 140 / 442 | {'loss_reg': '3.7318', 'loss_triplet': '0.0508', 'loss': '3.7826'}
Train | Epoch: 1 | Step: 150 / 442 | {'loss_reg': '1.9550', 'loss_triplet': '0.0737', 'loss': '2.0287'}
Train | Epoch: 1 | Step: 160 / 442 | {'loss_reg': '2.4927', 'loss_triplet': '0.0331', 'loss': '2.5258'}
Train | Epoch: 1 | Step: 170 / 442 | {'loss_reg': '3.1492', 'loss_triplet': '0.0331', 'loss': '3.1823'}
Train | Epoch: 1 | Step: 180 / 442 | {'loss_reg': '1.4573', 'loss_triplet': '0.0519', 'loss': '1.5092'}
Train | Epoch: 1 | Step: 190 / 442 | {'loss_reg': '2.1681', 'loss_triplet': '0.0637', 'loss': '2.2318'}
Train | Epoch: 1 | Step: 200 / 442 | {'loss_reg': '1.1411', 'loss_triplet': '0.0471', 'loss': '1.1882'}
Train | Epoch: 1 | Step: 210 / 442 | {'loss_reg': '1.8513', 'loss_triplet': '0.0374', 'loss': '1.8887'}
Train | Epoch: 1 | Step: 220 / 442 | {'loss_reg': '4.1422', 'loss_triplet': '0.0261', 'loss': '4.1683'}
Train | Epoch: 1 | Step: 230 / 442 | {'loss_reg': '3.3385', 'loss_triplet': '0.0281', 'loss': '3.3666'}
Train | Epoch: 1 | Step: 240 / 442 | {'loss_reg': '2.7799', 'loss_triplet': '0.0312', 'loss': '2.8111'}
Train | Epoch: 1 | Step: 250 / 442 | {'loss_reg': '2.3394', 'loss_triplet': '0.0701', 'loss': '2.4095'}
Train | Epoch: 1 | Step: 260 / 442 | {'loss_reg': '7.9225', 'loss_triplet': '0.0284', 'loss': '7.9509'}
Train | Epoch: 1 | Step: 270 / 442 | {'loss_reg': '1.8986', 'loss_triplet': '0.0755', 'loss': '1.9741'}
Train | Epoch: 1 | Step: 280 / 442 | {'loss_reg': '1.4126', 'loss_triplet': '0.0268', 'loss': '1.4394'}
