SEED FROM ARGS.
Train | Epoch: 1 | Step: 0 / 443 | {'loss_reg': '13.2843', 'loss': '13.2843'}
Train | Epoch: 1 | Step: 10 / 443 | {'loss_reg': '3.9919', 'loss': '3.9919'}
Train | Epoch: 1 | Step: 20 / 443 | {'loss_reg': '6.1360', 'loss': '6.1360'}
Train | Epoch: 1 | Step: 30 / 443 | {'loss_reg': '8.0088', 'loss': '8.0088'}
Train | Epoch: 1 | Step: 40 / 443 | {'loss_reg': '8.4702', 'loss': '8.4702'}
Train | Epoch: 1 | Step: 50 / 443 | {'loss_reg': '8.8945', 'loss': '8.8945'}
Train | Epoch: 1 | Step: 60 / 443 | {'loss_reg': '11.1689', 'loss': '11.1689'}
Train | Epoch: 1 | Step: 70 / 443 | {'loss_reg': '8.1316', 'loss': '8.1316'}
Train | Epoch: 1 | Step: 80 / 443 | {'loss_reg': '9.4332', 'loss': '9.4332'}
Train | Epoch: 1 | Step: 90 / 443 | {'loss_reg': '5.3634', 'loss': '5.3634'}
Train | Epoch: 1 | Step: 100 / 443 | {'loss_reg': '4.2662', 'loss': '4.2662'}
Train | Epoch: 1 | Step: 110 / 443 | {'loss_reg': '9.4111', 'loss': '9.4111'}
Train | Epoch: 1 | Step: 120 / 443 | {'loss_reg': '6.8349', 'loss': '6.8349'}
Train | Epoch: 1 | Step: 130 / 443 | {'loss_reg': '8.8250', 'loss': '8.8250'}
Train | Epoch: 1 | Step: 140 / 443 | {'loss_reg': '4.3452', 'loss': '4.3452'}
Train | Epoch: 1 | Step: 150 / 443 | {'loss_reg': '4.5133', 'loss': '4.5133'}
Train | Epoch: 1 | Step: 160 / 443 | {'loss_reg': '7.6383', 'loss': '7.6383'}
Train | Epoch: 1 | Step: 170 / 443 | {'loss_reg': '6.2574', 'loss': '6.2574'}
Train | Epoch: 1 | Step: 180 / 443 | {'loss_reg': '6.0487', 'loss': '6.0487'}
Train | Epoch: 1 | Step: 190 / 443 | {'loss_reg': '5.8158', 'loss': '5.8158'}
Train | Epoch: 1 | Step: 200 / 443 | {'loss_reg': '4.4038', 'loss': '4.4038'}
Train | Epoch: 1 | Step: 210 / 443 | {'loss_reg': '4.3602', 'loss': '4.3602'}
Train | Epoch: 1 | Step: 220 / 443 | {'loss_reg': '5.1230', 'loss': '5.1230'}
Train | Epoch: 1 | Step: 230 / 443 | {'loss_reg': '1.2847', 'loss': '1.2847'}
Train | Epoch: 1 | Step: 240 / 443 | {'loss_reg': '3.7435', 'loss': '3.7435'}
Train | Epoch: 1 | Step: 250 / 443 | {'loss_reg': '1.0728', 'loss': '1.0728'}
Train | Epoch: 1 | Step: 260 / 443 | {'loss_reg': '2.2953', 'loss': '2.2953'}
Train | Epoch: 1 | Step: 270 / 443 | {'loss_reg': '3.6662', 'loss': '3.6662'}
Train | Epoch: 1 | Step: 280 / 443 | {'loss_reg': '3.3819', 'loss': '3.3819'}
Train | Epoch: 1 | Step: 290 / 443 | {'loss_reg': '3.6187', 'loss': '3.6187'}
Train | Epoch: 1 | Step: 300 / 443 | {'loss_reg': '1.8511', 'loss': '1.8511'}
Train | Epoch: 1 | Step: 310 / 443 | {'loss_reg': '3.1281', 'loss': '3.1281'}
Train | Epoch: 1 | Step: 320 / 443 | {'loss_reg': '1.5277', 'loss': '1.5277'}
Train | Epoch: 1 | Step: 330 / 443 | {'loss_reg': '4.0502', 'loss': '4.0502'}
Train | Epoch: 1 | Step: 340 / 443 | {'loss_reg': '6.1144', 'loss': '6.1144'}
Train | Epoch: 1 | Step: 350 / 443 | {'loss_reg': '4.5937', 'loss': '4.5937'}
Train | Epoch: 1 | Step: 360 / 443 | {'loss_reg': '1.5095', 'loss': '1.5095'}
Train | Epoch: 1 | Step: 370 / 443 | {'loss_reg': '1.6176', 'loss': '1.6176'}
Train | Epoch: 1 | Step: 380 / 443 | {'loss_reg': '0.7129', 'loss': '0.7129'}
Train | Epoch: 1 | Step: 390 / 443 | {'loss_reg': '2.1374', 'loss': '2.1374'}
Train | Epoch: 1 | Step: 400 / 443 | {'loss_reg': '1.6239', 'loss': '1.6239'}
Train | Epoch: 1 | Step: 410 / 443 | {'loss_reg': '1.7874', 'loss': '1.7874'}
Train | Epoch: 1 | Step: 420 / 443 | {'loss_reg': '4.5238', 'loss': '4.5238'}
Train | Epoch: 1 | Step: 430 / 443 | {'loss_reg': '1.2136', 'loss': '1.2136'}
Train | Epoch: 1 | Step: 440 / 443 | {'loss_reg': '2.5760', 'loss': '2.5760'}
Val | Epoch: 1 | {'rmse': '11.537', 'pearson': '0.956', 'r2': '0.907', 'spearmanr': '0.889'}
Train | Epoch: 2 | Step: 0 / 443 | {'loss_reg': '0.2007', 'loss': '0.2007'}
Train | Epoch: 2 | Step: 10 / 443 | {'loss_reg': '5.6849', 'loss': '5.6849'}
Train | Epoch: 2 | Step: 20 / 443 | {'loss_reg': '2.9064', 'loss': '2.9064'}
Train | Epoch: 2 | Step: 30 / 443 | {'loss_reg': '2.1062', 'loss': '2.1062'}
Train | Epoch: 2 | Step: 40 / 443 | {'loss_reg': '3.3420', 'loss': '3.3420'}
