SEED FROM ARGS.
Train | Epoch: 1 | Step: 0 / 234 | {'loss_reg': '9.7342', 'loss': '9.7342'}
Train | Epoch: 1 | Step: 10 / 234 | {'loss_reg': '6.3143', 'loss': '6.3143'}
Train | Epoch: 1 | Step: 20 / 234 | {'loss_reg': '3.5668', 'loss': '3.5668'}
Train | Epoch: 1 | Step: 30 / 234 | {'loss_reg': '8.2291', 'loss': '8.2291'}
Train | Epoch: 1 | Step: 40 / 234 | {'loss_reg': '2.4257', 'loss': '2.4257'}
Train | Epoch: 1 | Step: 50 / 234 | {'loss_reg': '6.6928', 'loss': '6.6928'}
Train | Epoch: 1 | Step: 60 / 234 | {'loss_reg': '4.3742', 'loss': '4.3742'}
Train | Epoch: 1 | Step: 70 / 234 | {'loss_reg': '2.8883', 'loss': '2.8883'}
Train | Epoch: 1 | Step: 80 / 234 | {'loss_reg': '6.0295', 'loss': '6.0295'}
Train | Epoch: 1 | Step: 90 / 234 | {'loss_reg': '3.4657', 'loss': '3.4657'}
Train | Epoch: 1 | Step: 100 / 234 | {'loss_reg': '5.0016', 'loss': '5.0016'}
Train | Epoch: 1 | Step: 110 / 234 | {'loss_reg': '1.8543', 'loss': '1.8543'}
Train | Epoch: 1 | Step: 120 / 234 | {'loss_reg': '1.3941', 'loss': '1.3941'}
Train | Epoch: 1 | Step: 130 / 234 | {'loss_reg': '2.4276', 'loss': '2.4276'}
Train | Epoch: 1 | Step: 140 / 234 | {'loss_reg': '2.3074', 'loss': '2.3074'}
Train | Epoch: 1 | Step: 150 / 234 | {'loss_reg': '1.5770', 'loss': '1.5770'}
Train | Epoch: 1 | Step: 160 / 234 | {'loss_reg': '1.3812', 'loss': '1.3812'}
Train | Epoch: 1 | Step: 170 / 234 | {'loss_reg': '3.3737', 'loss': '3.3737'}
Train | Epoch: 1 | Step: 180 / 234 | {'loss_reg': '0.8904', 'loss': '0.8904'}
Train | Epoch: 1 | Step: 190 / 234 | {'loss_reg': '3.2833', 'loss': '3.2833'}
Train | Epoch: 1 | Step: 200 / 234 | {'loss_reg': '2.1666', 'loss': '2.1666'}
Train | Epoch: 1 | Step: 210 / 234 | {'loss_reg': '2.3421', 'loss': '2.3421'}
Train | Epoch: 1 | Step: 220 / 234 | {'loss_reg': '0.5444', 'loss': '0.5444'}
Train | Epoch: 1 | Step: 230 / 234 | {'loss_reg': '1.1051', 'loss': '1.1051'}
Val | Epoch: 1 | {'rmse': '12.819', 'pearson': '0.844', 'r2': '0.699', 'spearmanr': '0.748'}
Train | Epoch: 2 | Step: 0 / 234 | {'loss_reg': '1.8291', 'loss': '1.8291'}
Train | Epoch: 2 | Step: 10 / 234 | {'loss_reg': '0.8323', 'loss': '0.8323'}
Train | Epoch: 2 | Step: 20 / 234 | {'loss_reg': '1.2310', 'loss': '1.2310'}
Train | Epoch: 2 | Step: 30 / 234 | {'loss_reg': '1.7076', 'loss': '1.7076'}
Train | Epoch: 2 | Step: 40 / 234 | {'loss_reg': '1.6295', 'loss': '1.6295'}
Train | Epoch: 2 | Step: 50 / 234 | {'loss_reg': '3.4754', 'loss': '3.4754'}
Train | Epoch: 2 | Step: 60 / 234 | {'loss_reg': '0.4526', 'loss': '0.4526'}
Train | Epoch: 2 | Step: 70 / 234 | {'loss_reg': '3.0496', 'loss': '3.0496'}
Train | Epoch: 2 | Step: 80 / 234 | {'loss_reg': '0.8312', 'loss': '0.8312'}
Train | Epoch: 2 | Step: 90 / 234 | {'loss_reg': '0.7554', 'loss': '0.7554'}
Train | Epoch: 2 | Step: 100 / 234 | {'loss_reg': '1.7351', 'loss': '1.7351'}
Train | Epoch: 2 | Step: 110 / 234 | {'loss_reg': '0.9336', 'loss': '0.9336'}
Train | Epoch: 2 | Step: 120 / 234 | {'loss_reg': '1.0151', 'loss': '1.0151'}
Train | Epoch: 2 | Step: 130 / 234 | {'loss_reg': '1.3364', 'loss': '1.3364'}
Train | Epoch: 2 | Step: 140 / 234 | {'loss_reg': '2.0429', 'loss': '2.0429'}
Train | Epoch: 2 | Step: 150 / 234 | {'loss_reg': '1.4290', 'loss': '1.4290'}
Train | Epoch: 2 | Step: 160 / 234 | {'loss_reg': '2.0960', 'loss': '2.0960'}
Train | Epoch: 2 | Step: 170 / 234 | {'loss_reg': '1.3696', 'loss': '1.3696'}
Train | Epoch: 2 | Step: 180 / 234 | {'loss_reg': '1.3027', 'loss': '1.3027'}
Train | Epoch: 2 | Step: 190 / 234 | {'loss_reg': '0.8378', 'loss': '0.8378'}
Train | Epoch: 2 | Step: 200 / 234 | {'loss_reg': '2.3598', 'loss': '2.3598'}
Train | Epoch: 2 | Step: 210 / 234 | {'loss_reg': '1.1773', 'loss': '1.1773'}
Train | Epoch: 2 | Step: 220 / 234 | {'loss_reg': '1.6636', 'loss': '1.6636'}
Train | Epoch: 2 | Step: 230 / 234 | {'loss_reg': '9.0560', 'loss': '9.0560'}
Val | Epoch: 2 | {'rmse': '16.445', 'pearson': '0.768', 'r2': '0.504', 'spearmanr': '0.733'}
Train | Epoch: 3 | Step: 0 / 234 | {'loss_reg': '1.9307', 'loss': '1.9307'}
Train | Epoch: 3 | Step: 10 / 234 | {'loss_reg': '0.9388', 'loss': '0.9388'}
Train | Epoch: 3 | Step: 20 / 234 | {'loss_reg': '0.6919', 'loss': '0.6919'}
Train | Epoch: 3 | Step: 30 / 234 | {'loss_reg': '2.3047', 'loss': '2.3047'}
Train | Epoch: 3 | Step: 40 / 234 | {'loss_reg': '0.6721', 'loss': '0.6721'}
Train | Epoch: 3 | Step: 50 / 234 | {'loss_reg': '0.4822', 'loss': '0.4822'}
Train | Epoch: 3 | Step: 60 / 234 | {'loss_reg': '0.5208', 'loss': '0.5208'}
Train | Epoch: 3 | Step: 70 / 234 | {'loss_reg': '0.2225', 'loss': '0.2225'}
