SEED FROM ARGS.
Train | Epoch: 1 | Step: 0 / 234 | {'loss_reg': '9.7342', 'loss_triplet': '1.0198', 'loss': '10.7540'}
Train | Epoch: 1 | Step: 10 / 234 | {'loss_reg': '7.9150', 'loss_triplet': '0.1533', 'loss': '8.0682'}
Train | Epoch: 1 | Step: 20 / 234 | {'loss_reg': '3.3878', 'loss_triplet': '0.2564', 'loss': '3.6442'}
Train | Epoch: 1 | Step: 30 / 234 | {'loss_reg': '8.0411', 'loss_triplet': '0.1489', 'loss': '8.1899'}
Train | Epoch: 1 | Step: 40 / 234 | {'loss_reg': '3.0384', 'loss_triplet': '0.2930', 'loss': '3.3314'}
Train | Epoch: 1 | Step: 50 / 234 | {'loss_reg': '6.9975', 'loss_triplet': '0.3490', 'loss': '7.3465'}
Train | Epoch: 1 | Step: 60 / 234 | {'loss_reg': '4.8740', 'loss_triplet': '0.1216', 'loss': '4.9956'}
Train | Epoch: 1 | Step: 70 / 234 | {'loss_reg': '3.1210', 'loss_triplet': '0.2542', 'loss': '3.3752'}
Train | Epoch: 1 | Step: 80 / 234 | {'loss_reg': '5.7946', 'loss_triplet': '0.2273', 'loss': '6.0219'}
Train | Epoch: 1 | Step: 90 / 234 | {'loss_reg': '3.9795', 'loss_triplet': '0.2276', 'loss': '4.2071'}
Train | Epoch: 1 | Step: 100 / 234 | {'loss_reg': '2.0555', 'loss_triplet': '0.2233', 'loss': '2.2789'}
Train | Epoch: 1 | Step: 110 / 234 | {'loss_reg': '2.4214', 'loss_triplet': '0.2154', 'loss': '2.6368'}
Train | Epoch: 1 | Step: 120 / 234 | {'loss_reg': '1.4855', 'loss_triplet': '0.2160', 'loss': '1.7015'}
Train | Epoch: 1 | Step: 130 / 234 | {'loss_reg': '3.6543', 'loss_triplet': '0.1407', 'loss': '3.7951'}
Train | Epoch: 1 | Step: 140 / 234 | {'loss_reg': '3.0184', 'loss_triplet': '0.3763', 'loss': '3.3947'}
